what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1312374562640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374581390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374789046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374793546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374795359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374799109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374799265
error,log,,,"SOPC design not set.",1312374799312
error,log,,,"CPU module not set.",1312374799312
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374799312
error,log,,,"CPU architecture type not set. ",1312374799312
error,log,,,"CPU master group not set.",1312374799312
error,log,,,"SOPC design not set.",1312374799453
error,log,,,"CPU module not set.",1312374799453
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374799453
error,log,,,"CPU architecture type not set. ",1312374799453
error,log,,,"CPU master group not set.",1312374799453
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1312374802750
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1312374806937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374824468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374830140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374834781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374849562
error,log,,,"SOPC design not set.",1312374858328
error,log,,,"CPU module not set.",1312374858328
