what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373294546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373295953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373295953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373296062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373310265
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1312373310281
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1312373315453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373316656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373320515
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1312373322609
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1312373323984
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312373325109
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1312373326609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373326890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373330984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373345828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373373406
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1312373375343
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1312373375375
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1312373375375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373378875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373380703
error,log,,,"SOPC design not set.",1312373380750
error,log,,,"CPU module not set.",1312373380750
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373380750
