what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1312373567671
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312373567671
java.vm.version,sysinfo,,,"14.0-b16",1312373567671
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1312373567843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373683718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373683734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373683875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373770109
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312373773281
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1312373777375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373782015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373786078
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1312373786562
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312373787562
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1312373787718
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1312373787781
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1312373789656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373789921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373791187
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1312373798078
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1312373798078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373799234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373801156
error,log,,,"SOPC design not set.",1312373801609
error,log,,,"CPU module not set.",1312373801609
